"day","hour","traffic"
"Monday","0","11989"
"Monday","1","7857"
"Monday","2","5878"
"Monday","3","4306"
"Monday","4","3550"
"Monday","5","3957"
"Monday","6","5412"
"Monday","7","9021"
"Monday","8","14142"
"Monday","9","22174"
"Monday","10","26772"
"Monday","11","31719"
"Monday","12","35095"
"Monday","13","37248"
"Monday","14","37539"
"Monday","15","38936"
"Monday","16","39577"
"Monday","17","38121"
"Monday","18","36143"
"Monday","19","32127"
"Monday","20","29915"
"Monday","21","23920"
"Monday","22","19555"
"Monday","23","15656"
"Tuesday","0","9370"
"Tuesday","1","5887"
"Tuesday","2","3084"
"Tuesday","3","2851"
"Tuesday","4","2386"
"Tuesday","5","4830"
"Tuesday","6","9486"
"Tuesday","7","16878"
"Tuesday","8","21185"
"Tuesday","9","26307"
"Tuesday","10","26598"
"Tuesday","11","29566"
"Tuesday","12","34222"
"Tuesday","13","32301"
"Tuesday","14","31778"
"Tuesday","15","32010"
"Tuesday","16","31021"
"Tuesday","17","21243"
"Tuesday","18","19963"
"Tuesday","19","22814"
"Tuesday","20","28809"
"Tuesday","21","24793"
"Tuesday","22","19730"
"Tuesday","23","13502"
"Wednesday","0","8846"
"Wednesday","1","4772"
"Wednesday","2","3375"
"Wednesday","3","2560"
"Wednesday","4","2386"
"Wednesday","5","5354"
"Wednesday","6","12571"
"Wednesday","7","21301"
"Wednesday","8","28518"
"Wednesday","9","33407"
"Wednesday","10","36317"
"Wednesday","11","41032"
"Wednesday","12","40391"
"Wednesday","13","37598"
"Wednesday","14","40391"
"Wednesday","15","41148"
"Wednesday","16","37016"
"Wednesday","17","25608"
"Wednesday","18","25899"
"Wednesday","19","31195"
"Wednesday","20","28926"
"Wednesday","21","24836"
"Wednesday","22","21010"
"Wednesday","23","14317"
"Thursday","0","8090"
"Thursday","1","5296"
"Thursday","2","3201"
"Thursday","3","2619"
"Thursday","4","2968"
"Thursday","5","4481"
"Thursday","6","10418"
"Thursday","7","20894"
"Thursday","8","28751"
"Thursday","9","32592"
"Thursday","10","41323"
"Thursday","11","39285"
"Thursday","12","40741"
"Thursday","13","45280"
"Thursday","14","44465"
"Thursday","15","43825"
"Thursday","16","40100"
"Thursday","17","26481"
"Thursday","18","24502"
"Thursday","19","30497"
"Thursday","20","28576"
"Thursday","21","27703"
"Thursday","22","19486"
"Thursday","23","13095"
"Friday","0","8555"
"Friday","1","5820"
"Friday","2","3783"
"Friday","3","2502"
"Friday","4","3783"
"Friday","5","4888"
"Friday","6","10476"
"Friday","7","20021"
"Friday","8","25084"
"Friday","9","35037"
"Friday","10","35270"
"Friday","11","39518"
"Friday","12","41264"
"Friday","13","42661"
"Friday","14","40508"
"Friday","15","42778"
"Friday","16","37132"
"Friday","17","27121"
"Friday","18","42074"
"Friday","19","28693"
"Friday","20","29275"
"Friday","21","30788"
"Friday","22","22116"
"Friday","23","13910"
"Saturday","0","8206"
"Saturday","1","5878"
"Saturday","2","3783"
"Saturday","3","2211"
"Saturday","4","3201"
"Saturday","5","5645"
"Saturday","6","11407"
"Saturday","7","20952"
"Saturday","8","26248"
"Saturday","9","32418"
"Saturday","10","37132"
"Saturday","11","39868"
"Saturday","12","40508"
"Saturday","13","41905"
"Saturday","14","42137"
"Saturday","15","40682"
"Saturday","16","40042"
"Saturday","17","31021"
"Saturday","18","29158"
"Saturday","19","32767"
"Saturday","20","25550"
"Saturday","21","23047"
"Saturday","22","19148"
"Saturday","23","13793"
"Sunday","0","9836"
"Sunday","1","6052"
"Sunday","2","4772"
"Sunday","3","3317"
"Sunday","4","2910"
"Sunday","5","4015"
"Sunday","6","8090"
"Sunday","7","15597"
"Sunday","8","22989"
"Sunday","9","28576"
"Sunday","10","30672"
"Sunday","11","33582"
"Sunday","12","33640"
"Sunday","13","40100"
"Sunday","14","40857"
"Sunday","15","38878"
"Sunday","16","35386"
"Sunday","17","39460"
"Sunday","18","35037"
"Sunday","19","35211"
"Sunday","20","29973"
"Sunday","21","25841"
"Sunday","22","20021"
"Sunday","23","15074"
