community,accessibility 
Центральный,1
Кожзавод,1.9
Фестивальный,2.1
Отделение № 1 совхоза Солнечный,2.2
Школьный,2.4
Черёмушки,2.5
Сельскохозяйственный институт,2.8
Табачная фабрика,2.8
Хлопчатобумажный комбинат,2.9
Авиагородок,3
Славянский,3.1
Юбилейный,3.2
9-й километр,3.2
Теплоэлектростанция,3.4
Камвольно-суконный комбинат,3.4
Завод измерительных приборов,3.6
Краевая клиническая больница,4.4
Центр микрохирургии глаза,4.5
Комсомольский,4.7
Московский,4.7
Пашковский,4.8
Имени Н.И. Вавилова,5
2-я площадка,5
Гидростроителей,5.2
Завод радиоизмерительных приборов,5.4
Имени Маршала Жукова,5.5
Северный,6.3
Горхутор,6.4
Калинино,6.8
Посёлок Калинино,6.8
Новый,6.8
Ипподром,6.9
Немецкая деревня,7
